,federal_district,federal_district_short,region_code,region_name,okato,id,name,name_short,year,e1,e2,e3,e4,e5,e6,e8,ege_budg,wos,scopus,rsci,rnd,total_income,square,phd_share,pps,rnd_private,pk
1098,Уральский федеральный округ,УФО,66,Свердловская область,65000000000,311,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный лесотехнический университет»,"ФГБОУ  ВО ""УГЛТУ"", УГЛТУ, Уральский государственный лесотехнический университет, ФГБОУ ВО ""Уральский государственный лесотехнический университет""",2017,53.46,133.72,5.58,2194.17,175.97,65.0,4.55,53.69,13.1261,21.1991,493.4696,39620.2,650132.0,53701,73.15,299,38227.15,2631.5
1103,Уральский федеральный округ,УФО,66,Свердловская область,65000000000,312,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный педагогический университет»,"УрГПУ, ФГБОУ ВО «УрГПУ», ФГБОУ ВО «Уральский государственный педагогический университет», Уральский государственный педагогический университет",2017,67.62,81.67,2.17,2340.49,152.05,85.0,2.8,71.76,56.706,32.565,677.3129999999999,30331.9,869258.9,43459,83.72,390,31851.3,4511.35
1108,Уральский федеральный округ,УФО,66,Свердловская область,65000000000,313,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»,"ФГАОУ ВО «УрФУ имени первого Президента России Б.Н. Ельцина», Уральский федеральный университет, УрФУ",2017,69.55,637.28,8.09,2789.93,190.82,80.0,4.88,73.75,1612.7152,1742.6496,3229.0271999999995,1838941.7,8050633.6,255047,64.16,2248,767444.72,26197.9
1113,Уральский федеральный округ,УФО,66,Свердловская область,65000000000,315,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный экономический университет»,"ФГБОУ ВО  «Уральский государственный экономический университет»,  Уральский государственный экономический университет, УрГЭУ",2017,61.06,58.17,3.84,2689.5,197.58,80.0,1.91,72.03,34.049,54.826,1991.3925,27656.4,1278724.2,34471,70.4,395,22479.45,5481.5
1115,Приволжский федеральный округ,ПФО,2,Республика Башкортостан,80000000000,317,Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Уфимский государственный университет экономики и сервиса»,УГАЭС,2014,49.59,98.21,1.49,1778.83,137.78,80.0,4.35,53.99,54.4311,49.8213,221.4477,20967.3,390703.7,52491,90.67,197,9509.19,2350.55
1120,Приволжский федеральный округ,ПФО,2,Республика Башкортостан,80000000000,318,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уфимский государственный авиационный технический университет»,"ФГБОУ ВО «УГАТУ», УГАТУ, Уфимский государственный авиационный технический университет",2017,64.93,264.0,1.64,2178.27,199.95,80.0,4.67,70.1,319.0542,476.7135,3032.4582,251522.8,2075351.3,109662,72.92,849,155884.89,10561.05
1125,Приволжский федеральный округ,ПФО,2,Республика Башкортостан,80000000000,319,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уфимский государственный нефтяной технический университет»,"ФГБОУ ВО «УГНТУ», УГНТУ, Уфимский государственный нефтяной технический университет",2017,66.64,368.31,7.62,2410.76,208.76,80.0,5.45,75.3,163.7064,225.7632,4790.7288,400024.2,2618327.8,118675,76.76,936,323285.04,10398.35
1130,Северо-западный федеральный округ,СЗФО,11,Республика Коми,87000000000,320,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ухтинский государственный технический университет»,"ФГБОУ ВО «УГТУ», Ухтинский государственный технический университет, УГТУ",2017,54.73,264.97,10.9,4152.79,144.24,75.0,3.39,55.14,15.4128,14.573000000000002,333.2771,76390.0,1197249.5,104802,53.81,247,65447.59,2744.35
1135,Дальневосточный федеральный округ,ДВФО,27,Хабаровский край,8000000000,321,Федеральное государственное бюджетное образовательное учреждение высшего образования «Хабаровский государственный университет экономики и права»,"ФГБОУ ВО «ХГУЭП», ХГУЭП",2017,60.81,68.5,4.52,2494.97,186.02,70.0,3.24,72.45,2.1420000000000003,2.1420000000000003,570.8850000000001,13480.5,491009.4,33803,89.07,210,14225.4,2747.05
1140,Сибирский федеральный округ,СФО,19,Республика Хакасия,95000000000,322,Федеральное государственное бюджетное образовательное учреждение высшего образования «Хакасский государственный университет им. Н.Ф. Катанова»,"ФГБОУ ВО «ХГУ им. Н.Ф. Катанова», Хакасский государственный университет им. Н.Ф. Катанова",2017,61.72,52.62,0.51,2499.44,159.42,70.0,4.32,63.36,36.5959,24.6772,907.1778,19970.2,948664.3,65331,77.67,323,15542.759999999998,3848.4
1145,Уральский федеральный округ,УФО,74,Челябинская область,75000000000,323,Федеральное государственное бюджетное образовательное учреждение высшего образования «Южно-Уральский государственный гуманитарно-педагогический университет»,ФГБОУ ВО «ЮУрГГПУ»,2017,65.64,95.36,3.97,2010.3,163.86,,3.08,69.97,42.3132,50.7492,2103.1392,40041.6,844123.0,37439,82.0,444,37855.44,4485.9
1150,Уральский федеральный округ,УФО,74,Челябинская область,75000000000,324,Федеральное государственное бюджетное образовательное учреждение высшего образования «Челябинский государственный университет»,ФГБОУ ВО «ЧелГУ»,2017,62.63,90.92,3.27,1917.23,174.49,75.0,3.34,68.28,179.5011,105.0796,1181.0781,57972.4,1222521.1,83219,73.47,593,33925.53,7655.95
1155,Северо-западный федеральный округ,СЗФО,35,Вологодская область,19000000000,325,Федеральное государственное бюджетное образовательное учреждение высшего образования «Череповецкий государственный университет»,"ФГБОУ ВПО «Череповецкий государственный университет», Череповецкий государственный университет,  ЧГУ",2017,62.16,162.0,1.62,3184.8,185.69,75.0,2.72,61.45,47.5294,27.3064,1043.6994,34278.8,673904.4,48346,81.23,214,19544.62,3227.4
1160,Северо-Кавказский федеральный округ,СКФО,20,Чеченская Республика,96000000000,326,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чеченский государственный педагогический университет»,"ФГБОУ ВО «Чеченский государственный педагогический университет», Чеченский государственный педагогический университет, ЧГПУ",2017,64.17,55.19,0.3,1330.59,196.42,55.0,3.35,64.68,3.0702,4.9028,482.7592,21387.7,515603.3,68011,60.5,238,442.68,3752.0
1165,Северо-Кавказский федеральный округ,СКФО,20,Чеченская Республика,96000000000,327,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чеченский государственный университет»,ФГБОУ ВО «Чеченский государственный университет»,2017,53.62,66.22,1.12,1958.6,190.81,50.0,3.03,54.31,21.0728,37.0762,1592.5868,45274.8,1339190.1,133950,67.8,497,17469.55,9013.95
